process_id,arrival_time,burst_time,completion_time,turnaround_time,waiting_time,response_time
31,0,45,997,997,952,0
5,1,37,941,940,903,4
3,3,20,439,436,416,7
34,3,32,868,865,833,12
40,3,10,110,107,97,17
4,4,6,119,115,109,21
24,5,49,1070,1065,1016,25
36,5,40,987,982,942,30
38,10,45,1059,1049,1004,35
19,13,28,855,842,814,42
17,15,42,1061,1046,1004,45
27,16,45,1066,1050,1005,54
6,18,26,866,848,822,57
30,21,19,615,594,575,64
32,22,35,956,934,899,68
39,22,6,290,268,262,73
29,23,38,1025,1002,964,77
21,27,33,964,937,904,83
28,29,3,118,89,86,86
20,31,39,1029,998,959,88
26,32,33,972,940,907,92
15,35,22,784,749,727,94
9,36,41,1071,1035,994,103
13,36,21,795,759,738,108
2,37,23,798,761,738,112
12,37,28,906,869,841,117
37,37,22,805,768,746,122
7,39,13,522,483,470,125
23,39,10,355,316,306,130
35,39,8,358,319,311,135
18,40,28,909,869,841,139
22,40,25,815,775,750,144
33,40,6,369,329,323,149
10,41,48,1086,1045,997,158
14,41,14,546,505,491,163
11,43,19,699,656,637,166
8,46,49,1090,1044,995,173
16,47,42,1083,1036,994,177
1,50,22,842,792,770,179
25,50,18,722,672,654,184
