process_id,burst_time,completion_time,turnaround_time,waiting_time,response_time,execution_order
1,26,199,199,173,173,20
2,17,133,133,116,116,17
3,2,3,3,1,1,2
4,2,5,5,3,3,3
5,48,829,829,781,781,38
6,26,225,225,199,199,21
7,34,532,532,498,498,31
8,31,371,371,340,340,26
9,43,738,738,695,695,36
10,28,253,253,225,225,22
11,43,781,781,738,738,37
12,29,310,310,281,281,24
13,6,20,20,14,14,7
14,49,926,926,877,877,40
15,30,340,340,310,310,25
16,32,465,465,433,433,29
17,3,8,8,5,5,4
18,33,498,498,465,465,30
19,8,34,34,26,26,9
20,3,11,11,8,8,5
21,15,116,116,101,101,16
22,8,42,42,34,34,10
23,14,101,101,87,87,15
24,12,62,62,50,50,12
25,3,14,14,11,11,6
26,28,281,281,253,253,23
27,42,611,611,569,569,33
28,18,151,151,133,133,18
29,37,569,569,532,532,32
30,6,26,26,20,20,8
31,31,402,402,371,371,27
32,12,74,74,62,62,13
33,31,433,433,402,402,28
34,48,877,877,829,829,39
35,8,50,50,42,42,11
36,13,87,87,74,74,14
37,22,173,173,151,151,19
38,1,1,1,0,0,1
39,42,653,653,611,611,34
40,42,695,695,653,653,35
