process_id,arrival_time,burst_time
<<<<<<< HEAD
1,1,14
2,1,12
3,30,9
4,22,34
5,11,32
6,17,47
7,19,11
8,32,35
9,34,10
10,5,12
11,15,11
12,8,41
13,33,8
14,47,10
15,28,17
16,8,28
17,36,15
18,46,26
19,34,26
20,11,22
21,35,10
22,27,24
23,11,31
24,9,50
25,22,13
26,4,32
27,40,35
28,28,6
29,47,25
30,31,48
31,31,19
32,8,22
33,29,16
34,12,9
35,29,43
36,35,42
37,38,8
38,24,19
39,28,17
40,46,30
=======
1,0,17
2,0,46
3,0,38
4,0,26
5,0,13
6,0,28
7,0,14
8,0,21
9,0,13
10,0,9
11,0,25
12,0,17
13,0,31
14,0,14
15,0,36
16,0,11
17,0,42
18,0,16
19,0,18
20,0,11
21,0,31
22,0,41
23,0,44
24,0,35
25,0,30
26,0,46
27,0,49
28,0,40
29,0,35
30,0,36
31,0,7
32,0,14
33,0,9
34,0,16
35,0,45
36,0,38
37,0,25
38,0,45
39,0,9
40,0,2
>>>>>>> 11993f92686f26e09d0108b580f8f8851f419354
